animeID,studio
1796,Sunrise
1797,Yumeta Company
1798,Yumeta Company
1802,Sunrise
1803,Sunrise
1804,Studio Pierrot
1804,Ajia-Do
1807,Front Line
1808,Satelight
1810,TNK
1813,Ajia-Do
1815,J.C.Staff
1816,TMS Entertainment
1817,Daume
1818,Madhouse
1820,OLM
1822,Artmic
1824,Madhouse
1825,Madhouse
1826,OLM
1827,Production I.G
1829,Studio Ghibli
1830,OLM
1832,AIC
1832,Artmic
1833,Anime R
1833,Aubec
1835,Xebec
1836,Asread
1837,ufotable
1840,J.C.Staff
1841,Diomedea
1842,Studio Hibari
1843,J.C.Staff
1844,Studio Pierrot
1845,Toei Animation
1846,Phoenix Entertainment
1847,Shaft
1848,Sunrise
1849,Sunrise
1850,Sunrise
1851,Sunrise
1852,Shaft
1853,Toei Animation
1856,Picture Magic
1857,Madhouse
1858,ufotable
1860,AIC Spirits
1860,BeSTACK
1861,Toei Animation
1862,Gonzo
1863,OLM
1865,Gonzo
1867,Triangle Staff
1868,Toei Animation
1869,Madhouse
1872,Xebec
1878,TMS Entertainment
1879,Madhouse
1880,Madhouse
1884,Nomad
1885,Gonzo
1885,Palm Studio
1887,Kyoto Animation
1888,Daume
1889,Studio Deen
1890,Madhouse
1891,Xebec
1891,Group TAC
1892,Group TAC
1893,Madhouse
1894,Studio Gallop
1897,Sunrise
1898,J.C.Staff
1899,Production Reed
1901,Magic Bus
1902,Artland
1909,J.C.Staff
1910,Madhouse
1911,Gainax
1913,J.C.Staff
1913,Life Work
1914,Madhouse
1915,Seven Arcs
1916,Sunrise
1917,Sunrise
1919,Madhouse
1919,Studio Deen
1919,Magic Bus
1920,Studio Pierrot
1921,Studio Pierrot
1922,Studio Deen
1923,Studio Deen
1925,Madhouse
1926,Ishikawa Pro
1927,AIC
1929,Toei Animation
